Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-04-02,10151.650390625,10220.099609375,10127.75,10211.7998046875,225400,0,0
2018-04-03,10186.849609375,10255.349609375,10171.0498046875,10245.0,205300,0,0
2018-04-04,10274.599609375,10279.849609375,10111.2998046875,10128.400390625,231100,0,0
2018-04-05,10228.4501953125,10331.7998046875,10227.4501953125,10325.150390625,236800,0,0
2018-04-06,10322.75,10350.4501953125,10290.849609375,10331.599609375,200200,0,0
2018-04-09,10333.7001953125,10397.7001953125,10328.5,10379.349609375,221600,0,0
2018-04-10,10412.900390625,10424.849609375,10381.5,10402.25,251700,0,0
2018-04-11,10428.150390625,10428.150390625,10355.599609375,10417.150390625,250400,0,0
2018-04-12,10410.650390625,10469.900390625,10395.25,10458.650390625,238600,0,0
2018-04-13,10495.2998046875,10519.900390625,10451.4501953125,10480.599609375,213100,0,0
2018-04-16,10398.2998046875,10540.150390625,10396.349609375,10528.349609375,195000,0,0
2018-04-17,10557.2998046875,10560.4501953125,10495.650390625,10548.7001953125,206100,0,0
2018-04-18,10578.900390625,10594.2001953125,10509.7001953125,10526.2001953125,205400,0,0
2018-04-19,10563.650390625,10572.2001953125,10546.2001953125,10565.2998046875,262600,0,0
2018-04-20,10560.349609375,10582.349609375,10527.4501953125,10564.0498046875,244600,0,0
2018-04-23,10592.7998046875,10638.349609375,10514.9501953125,10584.7001953125,194200,0,0
2018-04-24,10578.099609375,10636.7998046875,10569.0,10614.349609375,219200,0,0
2018-04-25,10612.400390625,10612.599609375,10536.4501953125,10570.5498046875,189200,0,0
2018-04-26,10586.5,10628.400390625,10559.650390625,10617.7998046875,335100,0,0
2018-04-27,10651.650390625,10719.7998046875,10647.5498046875,10692.2998046875,0,0,0
2018-04-30,10705.75,10759.0,10704.599609375,10739.349609375,173800,0,0
2018-05-02,10783.849609375,10784.650390625,10689.7998046875,10718.0498046875,229700,0,0
2018-05-03,10720.150390625,10720.599609375,10647.4501953125,10679.650390625,185200,0,0
2018-05-04,10700.4501953125,10700.4501953125,10601.599609375,10618.25,186500,0,0
2018-05-07,10653.150390625,10725.650390625,10635.650390625,10715.5,168400,0,0
2018-05-08,10757.900390625,10758.5498046875,10689.400390625,10717.7998046875,269800,0,0
2018-05-09,10693.349609375,10766.25,10689.849609375,10741.7001953125,215400,0,0
2018-05-10,10779.650390625,10785.5498046875,10705.0,10716.5498046875,192100,0,0
2018-05-11,10741.9501953125,10812.0498046875,10724.4501953125,10806.5,203100,0,0
2018-05-14,10815.150390625,10834.849609375,10774.75,10806.599609375,171400,0,0
2018-05-15,10812.599609375,10929.2001953125,10781.400390625,10801.849609375,254300,0,0
2018-05-16,10751.9501953125,10790.4501953125,10699.7001953125,10741.099609375,231100,0,0
2018-05-17,10775.599609375,10777.25,10664.5,10682.7001953125,214100,0,0
2018-05-18,10671.849609375,10674.9501953125,10589.099609375,10596.400390625,223000,0,0
2018-05-21,10616.7001953125,10621.7001953125,10505.7998046875,10516.7001953125,0,0,0
2018-05-22,10518.4501953125,10558.599609375,10490.5498046875,10536.7001953125,241700,0,0
2018-05-23,10521.099609375,10533.5498046875,10417.7998046875,10430.349609375,290900,0,0
2018-05-24,10464.849609375,10535.150390625,10419.7998046875,10513.849609375,297600,0,0
2018-05-25,10533.0498046875,10628.0498046875,10524.0,10605.150390625,260800,0,0
2018-05-28,10648.349609375,10709.7998046875,10640.5498046875,10688.650390625,232600,0,0
2018-05-29,10689.400390625,10717.25,10616.099609375,10633.2998046875,225800,0,0
2018-05-30,10579.0,10648.7001953125,10558.4501953125,10614.349609375,238700,0,0
2018-05-31,10670.099609375,10763.7998046875,10620.400390625,10736.150390625,610300,0,0
2018-06-01,10738.4501953125,10764.75,10681.5,10696.2001953125,220600,0,0
2018-06-04,10765.9501953125,10770.2998046875,10618.349609375,10628.5,203800,0,0
2018-06-05,10630.7001953125,10633.150390625,10550.900390625,10593.150390625,167700,0,0
2018-06-06,10603.4501953125,10698.349609375,10587.5,10684.650390625,189900,0,0
2018-06-07,10722.599609375,10818.0,10722.599609375,10768.349609375,220900,0,0
2018-06-08,10736.400390625,10779.4501953125,10709.0498046875,10767.650390625,209400,0,0
2018-06-11,10781.849609375,10850.5498046875,10777.0498046875,10786.9501953125,211400,0,0
2018-06-12,10816.150390625,10856.5498046875,10789.400390625,10842.849609375,198300,0,0
2018-06-13,10887.5,10893.25,10842.650390625,10856.7001953125,213400,0,0
2018-06-14,10832.900390625,10833.7001953125,10773.5498046875,10808.0498046875,184300,0,0
2018-06-15,10808.650390625,10834.0,10755.400390625,10817.7001953125,305400,0,0
2018-06-18,10830.2001953125,10830.2001953125,10787.349609375,10799.849609375,196600,0,0
2018-06-19,10789.4501953125,10789.4501953125,10701.2001953125,10710.4501953125,224500,0,0
2018-06-20,10734.650390625,10781.7998046875,10724.0498046875,10772.0498046875,193500,0,0
2018-06-21,10808.4501953125,10809.599609375,10725.900390625,10741.099609375,223600,0,0
2018-06-22,10742.7001953125,10837.0,10710.4501953125,10821.849609375,229800,0,0
2018-06-25,10822.900390625,10831.0498046875,10753.0498046875,10762.4501953125,229600,0,0
2018-06-26,10742.7001953125,10805.25,10732.5498046875,10769.150390625,220000,0,0
2018-06-27,10785.5,10785.5,10652.400390625,10671.400390625,246000,0,0
2018-06-28,10660.7998046875,10674.2001953125,10557.7001953125,10589.099609375,352300,0,0
2018-06-29,10612.849609375,10723.0498046875,10612.349609375,10714.2998046875,242800,0,0
2018-07-02,10732.349609375,10736.150390625,10604.650390625,10657.2998046875,295400,0,0
2018-07-03,10668.599609375,10713.2998046875,10630.25,10699.900390625,202100,0,0
2018-07-04,10715.0,10777.150390625,10677.75,10769.900390625,173900,0,0
2018-07-05,10786.0498046875,10786.0498046875,10726.25,10749.75,220500,0,0
2018-07-06,10744.150390625,10816.349609375,10735.0498046875,10772.650390625,0,0,0
2018-07-09,10838.2998046875,10860.349609375,10807.150390625,10852.900390625,183600,0,0
2018-07-10,10902.75,10956.900390625,10876.650390625,10947.25,197000,0,0
2018-07-11,10956.400390625,10976.650390625,10923.0,10948.2998046875,222300,0,0
2018-07-12,11006.9501953125,11078.2998046875,10999.650390625,11023.2001953125,248300,0,0
2018-07-13,11056.900390625,11071.349609375,10999.75,11018.900390625,0,0,0
2018-07-16,11018.9501953125,11019.5,10926.25,10936.849609375,210500,0,0
2018-07-17,10939.650390625,11018.5,10925.599609375,11008.0498046875,210600,0,0
2018-07-18,11060.2001953125,11076.2001953125,10956.2998046875,10980.4501953125,225500,0,0
2018-07-19,10999.5,11006.5,10935.4501953125,10957.099609375,215400,0,0
2018-07-20,10963.5,11030.25,10946.2001953125,11010.2001953125,187300,0,0
2018-07-23,11019.849609375,11093.400390625,11010.9501953125,11084.75,229100,0,0
2018-07-24,11109.0,11143.400390625,11092.5,11134.2998046875,205800,0,0
2018-07-25,11148.400390625,11157.150390625,11113.25,11132.0,205900,0,0
2018-07-26,11132.9501953125,11185.849609375,11125.7001953125,11167.2998046875,365400,0,0
2018-07-27,11232.75,11283.400390625,11210.25,11278.349609375,314600,0,0
2018-07-30,11296.650390625,11328.099609375,11261.4501953125,11319.5498046875,278800,0,0
2018-07-31,11311.0498046875,11366.0,11267.75,11356.5,256500,0,0
2018-08-01,11359.7998046875,11390.5498046875,11313.5498046875,11346.2001953125,269700,0,0
2018-08-02,11328.900390625,11328.900390625,11234.9501953125,11244.7001953125,210000,0,0
2018-08-03,11297.7998046875,11368.0,11294.5498046875,11360.7998046875,218300,0,0
2018-08-06,11401.5,11427.650390625,11370.599609375,11387.099609375,203700,0,0
2018-08-07,11423.150390625,11428.9501953125,11359.7001953125,11389.4501953125,226400,0,0
2018-08-08,11412.5,11459.9501953125,11379.2998046875,11450.0,210500,0,0
2018-08-09,11493.25,11495.2001953125,11454.099609375,11470.7001953125,302200,0,0
2018-08-10,11474.9501953125,11478.75,11419.650390625,11429.5,0,0,0
2018-08-13,11369.599609375,11406.2998046875,11340.2998046875,11355.75,246900,0,0
2018-08-14,11381.7001953125,11452.4501953125,11370.7998046875,11435.099609375,232600,0,0
2018-08-16,11397.150390625,11449.849609375,11366.25,11385.0498046875,290600,0,0
2018-08-17,11437.150390625,11486.4501953125,11431.7998046875,11470.75,234700,0,0
2018-08-20,11502.099609375,11565.2998046875,11499.650390625,11551.75,232600,0,0
2018-08-21,11576.2001953125,11581.75,11539.599609375,11570.900390625,224200,0,0
2018-08-23,11620.7001953125,11620.7001953125,11546.7001953125,11582.75,248500,0,0
2018-08-24,11566.599609375,11604.599609375,11532.0,11557.099609375,218800,0,0
2018-08-27,11605.849609375,11700.9501953125,11595.599609375,11691.9501953125,199500,0,0
2018-08-28,11731.9501953125,11760.2001953125,11710.5,11738.5,241900,0,0
2018-08-29,11744.9501953125,11753.2001953125,11678.849609375,11691.900390625,251600,0,0
2018-08-30,11694.75,11698.7998046875,11639.7001953125,11676.7998046875,313800,0,0
2018-08-31,11675.849609375,11727.650390625,11640.099609375,11680.5,346500,0,0
2018-09-03,11751.7998046875,11751.7998046875,11567.400390625,11582.349609375,234400,0,0
2018-09-04,11598.75,11602.5498046875,11496.849609375,11520.2998046875,254800,0,0
2018-09-05,11514.849609375,11542.650390625,11393.849609375,11476.9501953125,246100,0,0
2018-09-06,11514.150390625,11562.25,11436.0498046875,11536.900390625,247900,0,0
2018-09-07,11558.25,11603.0,11484.400390625,11589.099609375,295900,0,0
2018-09-10,11570.25,11573.0,11427.2998046875,11438.099609375,286700,0,0
2018-09-11,11476.849609375,11479.400390625,11274.0,11287.5,0,0,0
2018-09-12,11340.099609375,11380.75,11250.2001953125,11369.900390625,268200,0,0
2018-09-14,11443.5,11523.25,11430.5498046875,11515.2001953125,276600,0,0
2018-09-17,11464.9501953125,11464.9501953125,11366.900390625,11377.75,201400,0,0
2018-09-18,11381.5498046875,11411.4501953125,11268.9501953125,11278.900390625,240900,0,0
2018-09-19,11326.650390625,11332.0498046875,11210.900390625,11234.349609375,250600,0,0
2018-09-21,11271.2998046875,11346.7998046875,10866.4501953125,11143.099609375,719000,0,0
2018-09-24,11164.400390625,11170.150390625,10943.599609375,10967.400390625,0,0,0
2018-09-25,10969.9501953125,11080.599609375,10882.849609375,11067.4501953125,405000,0,0
2018-09-26,11145.5498046875,11145.5498046875,10993.0498046875,11053.7998046875,340500,0,0
2018-09-27,11079.7998046875,11089.4501953125,10953.349609375,10977.5498046875,405700,0,0
2018-09-28,11008.099609375,11034.099609375,10850.2998046875,10930.4501953125,478100,0,0
2018-10-01,10930.900390625,11035.650390625,10821.5498046875,11008.2998046875,387000,0,0
2018-10-03,10982.7001953125,10989.0498046875,10843.75,10858.25,386800,0,0
2018-10-04,10754.7001953125,10754.7001953125,10547.25,10599.25,425100,0,0
2018-10-05,10514.099609375,10540.650390625,10261.900390625,10316.4501953125,606400,0,0
2018-10-08,10310.150390625,10398.349609375,10198.400390625,10348.0498046875,456200,0,0
